time_s,acceleration_m_s2,velocity_m_s,displacement_m
2.3,-0.16723,0.10015,0.021480000000000003
2.32,0.13047,0.1002,0.02346
2.34,0.38982999999999995,0.10581,0.02549
2.36,0.4395,0.11452,0.02767
2.38,0.18414999999999998,0.12117000000000001,0.03001
2.4,-0.16201000000000002,0.12140000000000001,0.03245
2.42,-0.32076,0.11696,0.03483
2.44,0.07986,0.11494,0.03713
2.46,0.6404099999999999,0.12254,0.03947
2.48,0.66339,0.13597,0.042050000000000004
2.5,0.37200000000000005,0.14671,0.04488
2.52,0.14936,0.15231999999999998,0.04785999999999999
2.54,-0.05771,0.15363,0.05091999999999999
2.56,-0.21297999999999997,0.15131,0.053970000000000004
2.58,-0.16299,0.14794000000000002,0.05695
2.6,-0.12743000000000002,0.14504,0.05988
2.62,-0.14203,0.14271,0.06276
2.64,-0.07127,0.14093999999999998,0.06559
2.66,-0.2225,0.13836,0.06839
2.68,-0.40505,0.13244999999999998,0.07110999999999999
2.7,-0.44765,0.12428,0.07368000000000001
2.72,-0.42040999999999995,0.11596000000000001,0.07608
2.74,-0.04748,0.11164,0.07835
2.76,0.30431,0.11457,0.0806
2.78,0.31266,0.1211,0.08295999999999999
2.8,0.24348,0.12667,0.08544
2.82,0.20062000000000002,0.13143000000000002,0.08803000000000001
2.84,0.16948,0.13546,0.09071
2.86,0.24521,0.13993,0.09348000000000001
2.88,0.23768,0.14508,0.09634000000000001
2.9,-0.01418,0.14764,0.09929
2.92,-0.09908,0.14683,0.10225
2.94,-0.00981,0.14606,0.10519
2.96,0.23465,0.14862999999999998,0.10814
2.98,0.5454,0.15676,0.11119
3.0,0.5132800000000001,0.16735,0.11442999999999999
3.02,0.29786999999999997,0.17574,0.11789
3.04,-0.08453,0.17815,0.12147000000000001
3.06,-0.11832000000000001,0.1764,0.12503
3.08,0.28458,0.17834,0.12859
3.1,0.78683,0.18933,0.13227
3.12,0.9773999999999999,0.20725000000000002,0.13625
3.14,0.6397200000000001,0.2237,0.14059
3.16,0.08842,0.23126000000000002,0.14518
3.18,-0.48872,0.22753,0.14981
3.2,-0.69258,0.21573,0.15425
3.22,-0.59992,0.20303000000000002,0.15846
3.24,-0.46326,0.19262,0.16244
3.26,-0.33878,0.18483,0.16625
3.28,-0.43944000000000005,0.17727,0.1699
3.3,-0.93448,0.16376000000000002,0.17335
3.32,-1.6496899999999999,0.13814,0.17643
3.34,-2.1836699999999998,0.10003000000000001,0.17886
3.36,-2.55376,0.05288,0.18042999999999998
3.38,-2.76147,-4e-05,0.18099
3.4,-3.03738,-0.05803,0.18042000000000002
3.42,-3.54613,-0.12369,0.17864999999999998
3.44,-4.10641,-0.20004999999999998,0.17547000000000001
3.46,-4.435230000000001,-0.28529,0.17065999999999998
3.48,-4.61426,-0.37561999999999995,0.1641
3.5,-4.4838,-0.46643,0.15571
3.52,-4.41586,-0.5552600000000001,0.14551999999999998
3.54,-4.5569,-0.64482,0.13356
3.56,-4.56329,-0.7358499999999999,0.11979
3.58,-4.50484,-0.82636,0.10421
3.6,-4.29301,-0.9143399999999999,0.08679
3.62,-4.17702,-0.99893,0.0677
3.64,-4.05309,-1.0811199999999999,0.04693
3.66,-3.7230000000000003,-1.1587699999999999,0.02456
3.68,-2.3872999999999998,-1.21976,0.00077
3.7,-0.54418,-1.24896,-0.023929999999999996
3.72,3.13887,-1.2229,-0.04873
3.74,5.68894,-1.13451,-0.07235
3.76,7.18409,-1.0056699999999998,-0.09376
3.78,7.73126,-0.85641,-0.11236
3.8,6.82473,-0.71084,-0.128
3.82,6.609299999999999,-0.57645,-0.14083
3.84,6.26504,-0.44765,-0.15101
3.86,5.26756,-0.33228,-0.15872999999999998
3.88,3.61737,-0.24337,-0.16439
3.9,1.2937,-0.19421,-0.16865
3.92,-0.26709,-0.18389,-0.17233
3.94,-4.17623,-0.22827000000000003,-0.17628
3.96,-5.61734,-0.32616,-0.18172999999999997
3.98,-6.379740000000001,-0.44608,-0.18938
4.0,-6.5347100000000005,-0.57522,-0.19959
4.02,-2.41951,-0.66476,-0.21208
4.04,-0.52881,-0.6942499999999999,-0.22569
4.06,0.64732,-0.6930700000000001,-0.23954999999999999
4.08,0.6272099999999999,-0.68033,-0.25324
4.1,0.82552,-0.66581,-0.26667
4.12,2.41183,-0.63344,-0.27966
4.14,5.79398,-0.55139,-0.29158
4.16,7.80417,-0.41540999999999995,-0.30127
4.18,9.503390000000001,-0.24234000000000003,-0.30786
4.2,9.83328,-0.04897,-0.31078
4.22,9.48733,0.14418,-0.30977
4.24,9.06857,0.32968000000000003,-0.30497
4.26,8.298200000000001,0.50329,-0.29657
4.28,6.4201,0.6504099999999999,-0.28492999999999996
4.3,5.191280000000001,0.7664700000000001,-0.27067
4.32,1.64702,0.83479,-0.25449
4.34,1.65497,0.86775,-0.23742999999999997
4.36,-4.35721,0.8406699999999999,-0.22010000000000002
4.38,-10.07942,0.69625,-0.20449
4.4,-8.81943,0.50726,-0.1925
4.42,-7.09615,0.348,-0.18396
4.44,-1.9088800000000001,0.25785,-0.17803000000000002
4.46,-0.41855,0.23446999999999998,-0.17310999999999999
4.48,0.95151,0.23969000000000001,-0.16837
4.5,0.24819,0.25158,-0.16338999999999998
4.52,-0.18725000000000003,0.25207999999999997,-0.1583
4.54,0.027770000000000003,0.25038,-0.15324
4.56,3.01812,0.28074,-0.14798
4.58,5.486689999999999,0.36568,-0.14156000000000002
4.6,5.75029,0.47805,-0.13313
4.62,4.14976,0.57691,-0.12247999999999999
4.64,2.50977,0.6433599999999999,-0.11019
4.66,0.8529300000000001,0.67684,-0.09689
4.68,-0.6572100000000001,0.67865,-0.08324999999999999
4.7,-2.4386799999999997,0.64755,-0.06989
4.72,-2.68209,0.59619,-0.0574
4.74,-1.82203,0.551,-0.045919999999999996
4.76,-1.01765,0.52246,-0.03517
4.78,-0.11429,0.511,-0.02483
4.8,-0.8321,0.50154,-0.01467
4.82,-1.6088900000000002,0.47695,-0.00483
4.84,-2.35863,0.4371,0.00437
4.86,-2.4781,0.38856,0.01266
4.88,-2.6182,0.33742,0.01996
4.9,-2.5751100000000005,0.28531,0.02622
4.92,-2.17581,0.23762,0.03147
4.94,-1.6834200000000001,0.19885000000000003,0.03585
4.96,-1.15476,0.17029,0.03956
4.98,0.04716,0.15904,0.04285
5.0,1.23415,0.17186,0.04611
5.02,1.95713,0.20358,0.04987
5.04,2.17423,0.24469000000000002,0.05437
5.06,1.83668,0.2846,0.059699999999999996
5.08,1.16182,0.31439,0.06573999999999999
5.1,0.4193,0.33000999999999997,0.07223
5.12,-0.39786,0.33002000000000004,0.07889
5.14,-1.6252000000000002,0.30959,0.08535
5.16,-2.9219799999999996,0.26393,0.09115000000000001
5.18,-3.5154199999999998,0.19935,0.09583
5.2,-3.1654199999999997,0.13255,0.09913999999999999
5.22,-2.40069,0.07668,0.10122
5.24,-1.3585900000000002,0.03888,0.10236
5.26,-0.9040300000000001,0.01605,0.10291
5.28,-0.80266,-0.00122,0.10307000000000001
5.3,-0.7076399999999999,-0.01653,0.10289999999999999
5.32,-0.74151,-0.03123,0.10244
5.34,-0.71799,-0.04604,0.10167999999999999
5.36,0.28864999999999996,-0.05054,0.1007
5.38,2.0558899999999998,-0.0273,0.09988
5.4,3.1565,0.02483,0.09981999999999999
5.42,4.05508,0.09673999999999999,0.10101
5.44,3.83813,0.17546,0.10374
5.46,3.16099,0.24525,0.10797000000000001
5.48,1.8864400000000001,0.29552,0.11343
5.5,0.6329699999999999,0.32051,0.11962999999999999
5.52,-0.63735,0.32026000000000004,0.12609
5.54,-1.13353,0.30234,0.13233
5.56,-3.51939,0.2556,0.138
5.58,-5.79411,0.16226,0.14225
5.6,-5.87386,0.04559,0.14432999999999999
5.62,-5.2452499999999995,-0.0658,0.1441
5.64,-2.73449,-0.14579,0.14189
5.66,-1.1886,-0.18522,0.13852
5.68,-0.41408,-0.20143999999999998,0.13462
5.7,-0.61486,-0.21193,0.13048
5.72,-1.1092199999999999,-0.22936,0.12607
5.74,-1.90048,-0.25966,0.12119999999999999
5.76,-2.32156,-0.30207,0.11559
5.78,-1.32216,-0.33871,0.10913
5.8,1.6536099999999998,-0.33539,0.10228999999999999
5.82,3.83822,-0.28065,0.09603999999999999
5.84,5.18342,-0.19061,0.09125
5.86,5.41458,-0.08481,0.08847
5.88,4.24363,0.0116,0.08775000000000001
5.9,2.47669,0.07862,0.08868000000000001
5.92,0.22382000000000002,0.10545,0.09057
5.94,-0.67948,0.10071,0.09264
5.96,-0.80227,0.08571999999999999,0.09448000000000001
5.98,-0.4551,0.07296,0.09603
6.0,-1.02464,0.05817,0.09736
6.02,-1.74694,0.030299999999999997,0.09823
6.04,-2.46495,-0.01198,0.0984
6.06,-3.2004099999999998,-0.06878999999999999,0.09756999999999999
6.08,-3.4389299999999996,-0.13534000000000002,0.0955
6.1,-3.41625,-0.20405,0.09205999999999999
6.12,-2.75791,-0.26594999999999996,0.0873
6.14,-2.0784800000000003,-0.31448,0.08143
6.16,-1.3703,-0.34912,0.07473
6.18,-0.91916,-0.37217,0.06746
6.2,-0.43189999999999995,-0.38567999999999997,0.05987
6.22,0.07823000000000001,-0.38936,0.052039999999999996
6.24,1.40664,-0.37464,0.0443
6.26,3.07414,-0.32997,0.03714
6.28,3.8607799999999997,-0.26076,0.03115
6.3,3.7321,-0.18497,0.02664
6.32,2.5636099999999997,-0.12215,0.023559999999999998
6.34,1.05021,-0.08615,0.02147
6.36,0.0059,-0.07573,0.01983
6.38,-0.28596,-0.07866,0.01824
6.4,-0.19015,-0.08342000000000001,0.01661
6.42,-0.00191,-0.08546,0.01485
6.44,0.08926,-0.08471000000000001,0.013080000000000001
6.46,0.15632,-0.08237,0.01133
6.48,-0.38436,-0.08477,0.00961
6.5,-0.87509,-0.09748,0.00774
6.52,-1.23116,-0.11866,0.005520000000000001
6.54,-1.62885,-0.14737999999999998,0.0028000000000000004
6.56,-1.7924600000000002,-0.18170999999999998,-0.00055
6.58,-1.7226,-0.21698,-0.00461
6.6,-0.99359,-0.24414000000000002,-0.00924
6.62,-0.36684,-0.25784,-0.01436
6.64,-0.18841000000000002,-0.26349,-0.01966
6.66,-0.26603,-0.26814,-0.02505
6.68,-0.72005,-0.2781,-0.03057
6.7,-1.31076,-0.29851,-0.0364
6.72,-1.6974,-0.32869,-0.04273
6.74,-1.39144,-0.35967,-0.049699999999999994
6.76,-0.27024000000000004,-0.37639,-0.05718
6.78,1.5241200000000001,-0.36395000000000005,-0.06472
6.8,3.0462000000000002,-0.31824,-0.07159
6.82,3.2333999999999996,-0.25551999999999997,-0.07742
6.84,2.36145,-0.19965,-0.08202
6.86,1.03061,-0.16580999999999999,-0.08571
6.88,0.03056,-0.15528,-0.08897000000000001
6.9,-0.29772,-0.15803,-0.09218
6.92,-0.09981999999999999,-0.16207999999999997,-0.09545999999999999
6.94,0.24642,-0.16069,-0.09878999999999999
6.96,0.35127,-0.15478999999999998,-0.10203
6.98,0.15213,-0.14984,-0.10515000000000001
7.0,-0.21692,-0.15048,-0.10814
7.02,-0.26076,-0.15531,-0.11127000000000001
7.04,0.0616,-0.15736,-0.11449999999999999
7.06,0.39610999999999996,-0.15284,-0.11769
7.08,0.8551300000000001,-0.14038,-0.12072
7.1,1.52249,-0.11666,-0.12339
7.12,1.78508,-0.08363,-0.12549
7.14,1.84557,-0.047380000000000005,-0.12688
7.16,1.89764,-0.01,-0.12754
7.18,1.6791900000000002,0.02571,-0.12744999999999998
7.2,1.53046,0.05781,-0.12661
7.22,1.53482,0.08843,-0.12523
7.24,1.7514699999999999,0.12127,-0.12322
7.26,2.1274,0.16003,-0.12050000000000001
7.28,2.20823,0.20335,-0.11694
7.3,2.1184700000000003,0.24658999999999998,-0.11252000000000001
7.32,2.0597499999999997,0.28834,-0.10724
7.34,1.8072,0.32698,-0.10116
7.36,1.44535,0.35948,-0.09436
7.38,1.1751099999999999,0.38565,-0.08698
7.4,0.96116,0.40702,-0.07905000000000001
7.42,0.6430899999999999,0.42306,-0.07081
7.44,0.61643,0.43565,-0.06229
7.46,0.18068,0.44362,-0.05355000000000001
7.48,-0.7502800000000001,0.43792000000000003,-0.04478
7.5,-1.67836,0.41362000000000004,-0.0363
7.52,-2.75233,0.36930999999999997,-0.02851
7.54,-3.31009,0.30868,-0.02178
7.56,-3.435,0.24123,-0.01635
7.58,-3.0994099999999998,0.17588,-0.01226
7.6,-2.4352,0.12054000000000001,-0.00932
7.62,-2.14673,0.07474,-0.00743
7.64,-2.12213,0.03207,-0.00643
7.66,-1.86719,-0.0078000000000000005,-0.00626
7.68,-1.3321100000000001,-0.03978,-0.00681
7.7,-0.62491,-0.05933,-0.007890000000000001
7.72,-0.12169,-0.06678,-0.00923
7.74,0.38313,-0.06414,-0.01061
7.76,2.3659499999999998,-0.036629999999999996,-0.01175
7.78,4.4832600000000005,0.03188,-0.011930000000000001
7.8,5.78566,0.13457,-0.01031
7.82,5.68805,0.24935,-0.00651
7.84,4.1674299999999995,0.34795000000000004,-0.00054
7.86,2.6460000000000004,0.41612000000000005,0.0070999999999999995
7.88,1.0133,0.45276000000000005,0.0158
7.9,-0.32130000000000003,0.45972,0.02492
7.92,-0.9845900000000001,0.44670000000000004,0.03395
7.94,-0.8659399999999999,0.42823999999999995,0.042649999999999993
7.96,-0.92057,0.41040999999999994,0.05099
7.98,-1.25259,0.38872,0.05894
8.0,-1.7865799999999998,0.35833,0.06643
8.02,-2.78981,0.31263,0.07314
8.04,-4.07825,0.24401,0.07871
8.06,-4.9204,0.15409,0.08268
8.08,-4.532579999999999,0.05962,0.08477
8.1,-3.23637,-0.018009999999999998,0.08510999999999999
8.12,-1.80973,-0.06841,0.08416
8.14,-1.11323,-0.09757999999999999,0.08244
8.16,-1.11472,-0.1198,0.08023
8.18,-1.16777,-0.14256,0.07757
8.2,-1.25868,-0.16682,0.07448
8.22,-1.36337,-0.19297,0.07087
8.24,-0.88396,-0.21536000000000002,0.06674000000000001
8.26,0.15887,-0.22254000000000002,0.06231
8.28,1.42703,-0.2066,0.05795
8.3,2.33181,-0.16893999999999998,0.054150000000000004
8.32,2.35093,-0.12203,0.051210000000000006
8.34,1.76772,-0.08077,0.04918
8.36,0.8054000000000001,-0.05496,0.04784
8.38,-0.23672,-0.04919,0.04681
8.4,-0.7524299999999999,-0.05908,0.045739999999999996
8.42,-0.65819,-0.0731,0.04441
8.44,-0.18397,-0.08143,0.042839999999999996
8.46,0.23914000000000002,-0.08079,0.0412
8.48,0.30157,-0.07529,0.03962
8.5,-0.19025999999999998,-0.07409,0.03814
8.52,-0.7441800000000001,-0.08334,0.03658
8.54,-0.90278,-0.09971999999999999,0.03474
8.56,-0.9522799999999999,-0.11818,0.03256
8.58,-1.0395999999999999,-0.13801,0.029990000000000003
8.6,-1.23105,-0.16072,0.02701
8.62,-1.32495,-0.18617999999999998,0.02355
8.64,-1.24137,-0.21173999999999998,0.01957
8.66,-0.93926,-0.23345,0.01512
8.68,-0.40965,-0.24684,0.0103
8.7,0.16402,-0.2492,0.0053300000000000005
8.72,0.51385,-0.24231999999999998,0.00041
8.74,0.61582,-0.23093,-0.00433
8.76,0.52459,-0.21942,-0.00882
8.78,0.36995,-0.21038,-0.01311
8.8,0.37762999999999997,-0.2029,-0.01724
8.82,0.7331399999999999,-0.19169,-0.021179999999999997
8.84,1.29409,-0.17131,-0.02481
8.86,1.7143100000000002,-0.14113,-0.02793
8.88,2.00947,-0.10378,-0.030369999999999998
8.9,2.1193,-0.06239,-0.03202
8.92,2.17722,-0.01933,-0.03282
8.94,2.18797,0.02443,-0.03275
8.96,2.05539,0.06697,-0.03182
8.98,1.70723,0.1047,-0.03007
9.0,1.3117699999999999,0.13489,-0.02766
9.02,0.89969,0.15711,-0.024700000000000003
9.04,0.35705,0.16978000000000001,-0.02138
9.06,-0.049409999999999996,0.17296,-0.01791
9.08,-0.34018,0.16917000000000001,-0.014450000000000001
9.1,-0.76434,0.15823,-0.01113
9.12,-1.32486,0.13744,-0.00813
9.14,-1.8213499999999998,0.10608000000000001,-0.00565
9.16,-1.91774,0.0688,-0.00387
9.18,-1.59491,0.033780000000000004,-0.0028199999999999996
9.2,-1.24633,0.005370000000000001,-0.00244
9.22,-1.07569,-0.01775,-0.00254
9.24,-0.9968300000000001,-0.03837,-0.00306
9.26,-0.8768,-0.05701,-0.00398
9.28,-0.73494,-0.07302,-0.00525
9.3,-0.57026,-0.08598,-0.00681
9.32,-0.023809999999999998,-0.09182,-0.00857
9.34,0.7996800000000001,-0.08396,-0.01031
9.36,1.4939099999999998,-0.060919999999999995,-0.01175
9.38,1.66885,-0.02919,-0.01262
9.4,1.42048,0.0017100000000000001,-0.01288
9.42,0.97968,0.0258,-0.012549999999999999
