time (s),acceleration (m/s^2),velocity (m/s),displacement (m)
3.1,2.01535,0.13788,0
3.12,1.76619,0.17563,0
3.14,1.27635,0.206,0
3.16,0.16092,0.22032,0
3.18,-0.6696,0.21517,0
3.2,-0.54382,0.20304,0
3.22,-0.31435,0.19442,0
3.24,-0.65308,0.18472,0
3.26,-0.53896,0.17276,0
3.28,0.06824,0.16802,0
3.3,0.06145,0.16929,0
3.32,-0.56246,0.16425,0
3.34,-1.1915,0.14668,0
3.36,-1.21653,0.12256,0
3.38,-0.30434,0.10732,0.98066
3.4,0.58832,0.11016,5.00E-05
3.42,0.16173,0.11766,0.39996
3.44,-0.80574,0.11121,3.12614
3.46,-0.90354,0.09411,0
3.48,-0.39925,0.08108,0
3.5,-0.32286,0.07385,0.25
3.52,-0.69062,0.06371,0.02
3.54,-1.40307,0.04277,0.3998
3.56,-1.85638,0.01017,0.0002
3.58,-2.05809,-0.02898,0.002
3.6,-2.23725,-0.07194,0.001
3.62,-1.99205,-0.11421,0
3.64,-0.58615,-0.13997,0.0432
3.66,1.01705,-0.13564,3.24345
3.68,1.213,-0.11332,0.0316
3.7,0.89852,-0.09218,0.22032
3.72,0.29261,-0.08025,0.058
3.74,-0.49584,-0.08226,-0.04742
3.76,-0.87669,-0.09597,0.01219
3.78,-0.56919,-0.11041,0.002
3.8,-0.72399,-0.12334,0.23
3.82,-0.00398,-0.13057,0.0002
3.84,1.03007,-0.12027,0.0002
3.86,0.57376,-0.10418,0.00481
3.88,1.07036,-0.0877,0
3.9,1.67598,-0.06019,0
3.92,1.80118,-0.02537,0
3.94,0.91381,0.00182,0
3.96,0.19408,0.01295,0
3.98,0.01718,0.0151,0
4,0.27778,0.01805,0
4.02,0.45374,0.02544,0
4.04,-0.49958,0.02505,0
4.06,-1.03291,0.00979,0
4.08,-1.13198,-0.01179,0
4.1,-1.28187,-0.03586,0
4.12,-1.15278,-0.06014,0
4.14,-0.73176,-0.07892,0
4.16,-0.24307,-0.0886,0
4.18,-0.37906,-0.09475,0
4.2,-0.34468,-0.10199,0
4.22,0.32351,-0.10211,0
4.24,-0.2429,-0.10122,0
4.26,0.35834,-0.09998,0
4.28,2.31118,-0.07319,0
4.3,3.23052,-0.01769,0
4.32,3.24345,0.04714,0
4.34,3.03479,0.11001,0
4.36,2.57551,0.1662,20
4.38,1.39146,0.20596,0.0002
4.4,-0.37055,0.21617,0.1764
4.42,-1.39499,0.19861,0.19867
4.44,-1.8778,0.16599,0.1896
4.46,-2.23719,0.12494,0.16037
4.48,-2.19836,0.08069,0.01268
4.5,-2.16722,0.03714,-0.14637
4.52,-0.80753,0.00749,-0.45847
4.54,0.70041,0.00652,-0.70336
4.56,1.02045,0.02384,-0.75413
4.58,1.25603,0.0467,-0.37094
4.6,2.38813,0.08314,0.05173
4.62,3.12982,0.13844,-0.27975
4.64,1.91036,0.18895,-0.44125
4.66,0.04078,0.20858,0.32864
4.68,-0.85592,0.20054,0.99964
4.7,-1.40215,0.17807,1.08467
4.72,-1.88954,0.14526,1.01648
4.74,-1.80749,0.10841,0.12773
4.76,-1.90502,0.0714,-0.85336
4.78,-2.33553,0.0291,-0.65718
4.8,-2.60418,-0.0203,-0.02477
4.82,-2.24334,-0.06865,-0.70869
4.84,-1.07209,-0.10169,-1.13968
4.86,0.0901,-0.11139,-0.56641
4.88,0.4932,-0.10544,-0.70172
4.9,0.72432,-0.09315,-0.66443
4.92,0.96081,-0.07618,-0.15643
4.94,0.79662,-0.05849,0.55085
4.96,0.33947,-0.04701,1.13674
4.98,0.44114,-0.03908,1.48088
5,0.34621,-0.03121,1.2668
5.02,-0.04372,-0.02807,0.7771
5.04,-0.54607,-0.03385,0.43716
5.06,-0.85237,-0.04772,0.67117
5.08,0.1103,-0.05502,0.66499
5.1,0.09429,-0.05286,0.29357
5.12,-1.07471,-0.06254,-0.13869
5.14,-1.07819,-0.08395,-1.37056
5.16,-1.16465,-0.10627,-2.00569
5.18,-2.03641,-0.13816,-1.69746
5.2,-0.70964,-0.16562,-1.20883
5.22,1.18161,-0.16079,0.41088
5.24,1.58321,-0.13303,0.87448
5.26,1.78067,-0.09927,-0.11785
5.28,0.91951,-0.07216,0.05523
