time (s),acceleration (m/s^2),velocity (m/s),displacement (m)
13.88,-0.29608,0.00406,0.30542
13.9,-0.29694,-0.0019,-0.22351
13.92,-0.08107,-0.0057,-0.35473
13.94,0.08386,-0.0057,-0.2777
13.96,0.00768,-0.0048,-0.10477
13.98,-0.08359,-0.00558,0.02346
14,-0.17924,-0.00821,-0.07762
14.02,-0.15676,-0.0116,-0.10123
14.04,0.02158,-0.01298,0.28739
14.06,0.10332,-0.01176,0.67269
14.08,0.02676,-0.01049,0.71317
14.1,-0.07621,-0.01101,0.48431
14.12,-0.14464,-0.01325,-0.03461
14.14,-0.09059,-0.01563,-0.46238
14.16,0.02938,-0.01627,-0.48062
14.18,0.10848,-0.01492,-0.37856
14.2,0.16981,-0.01214,-0.40406
14.22,0.21097,-0.00836,-0.52361
14.24,0.1129,-0.00515,-0.44245
14.26,0.00095,-0.00405,-0.11033
14.28,0.04401,-0.00363,0.19499
14.3,0.10898,-0.00213,0.17992
14.32,0.04953,-0.00058,-0.09685
14.34,0.0023,-9.00E-05,-0.33344
14.36,0.03736,0.00027,-0.41641
14.38,0.00684,0.00068,-0.33153
14.4,-0.03421,0.00041,-0.43467
14.42,0.0019,5.00E-05,-0.71267
14.44,0.13428,0.00138,-0.61075
14.46,0.17862,0.00447,-0.28983
14.48,0.10477,0.00727,-0.25679
14.5,0.0659,0.00894,-0.16868
14.52,-0.03828,0.00918,-0.00228
14.54,-0.17161,0.00705,-0.12481
14.56,-0.1185,0.00411,-0.2239
14.58,-0.08011,0.00209,-0.11883
14.6,-0.22127,-0.00092,-0.09829
14.62,-0.25009,-0.00567,-0.07558
14.64,-0.14445,-0.00965,0.04089
14.66,-0.11954,-0.01233,-0.22291
14.68,-0.06138,-0.01417,-0.52487
14.7,0.00486,-0.01477,-0.48418
14.72,0.01501,-0.01461,-0.49171
14.74,-0.02313,-0.01473,-0.55734
14.76,-0.06398,-0.01563,-0.49944
14.78,-0.07597,-0.01707,-0.39593
14.8,-0.06149,-0.01844,-0.40892
14.82,-0.07565,-0.01985,-0.2718
14.84,-0.12942,-0.02193,-0.04298
14.86,-0.13757,-0.02464,0.0014
14.88,-0.11541,-0.0272,-0.1167
14.9,0.01273,-0.02826,-0.0999
14.92,0.16918,-0.02648,0.00588
14.94,0.16878,-0.02313,-0.0853
14.96,0.12703,-0.02021,-0.04876
14.98,0.12615,-0.01771,0.03953
15,0.08007,-0.01565,-0.08548
15.02,0.01412,-0.01474,-0.03935
15.04,0.01735,-0.01446,0.2714
15.06,0.06316,-0.01369,0.35356
15.08,0.12606,-0.01183,0.36041
15.1,0.1359,-0.00924,0.59275
15.12,0.11362,-0.00678,0.79053
15.14,0.15224,-0.00415,0.79343
15.16,0.12136,-0.00145,0.72069
15.18,0.02473,-2.00E-05,0.66825
15.2,0.02556,0.00048,0.43459
15.22,0.02026,0.00091,0.15412
15.24,-0.12085,-0.00013,0.08101
15.26,-0.16756,-0.00304,0.03243
15.28,-0.04365,-0.00518,-0.05322
15.3,0.07014,-0.00495,-0.04122
15.32,0.04986,-0.00378,0.06411
15.34,0.0502,-0.00281,-0.02635
15.36,0.10222,-0.00131,-0.30619
15.38,0.10686,0.00075,-0.43275
15.4,0.16746,0.00349,-0.4745
15.42,0.24078,0.00754,-0.47472
15.44,0.18092,0.01173,-0.3462
15.46,0.11441,0.01466,-0.25577
15.48,0.08835,0.01666,-0.26069
15.5,0.04849,0.018,-0.29908
15.52,0.01125,0.01857,-0.23632
15.54,-0.00519,0.0186,-0.14219
15.56,0.01455,0.01866,-0.09069
15.58,-0.011,0.01867,-0.03339
15.6,-0.01708,0.01839,-0.20937
15.62,-0.04345,0.01776,-0.3998
15.64,-0.08453,0.01645,-0.29318
15.66,-0.09713,0.01461,-0.26784
15.68,-0.10177,0.01259,-0.45929
15.7,-0.0419,0.01113,-0.55672
15.72,0.01819,0.01087,-0.29738
15.74,0.05174,0.01154,0.11717
15.76,0.0426,0.01246,0.41254
15.78,-0.0158,0.0127,0.50992
15.8,-0.08428,0.0117,0.46301
15.82,-0.10736,0.00976,0.44741
15.84,-0.15595,0.0071,0.39366
15.86,-0.23107,0.00321,0.26938
15.88,-0.27041,-0.00183,0.31242
15.9,-0.25436,-0.0071,0.52599
15.92,-0.19519,-0.01162,0.46404
15.94,-0.08586,-0.01446,0.17576
15.96,0.06548,-0.01468,0.22742
15.98,0.15033,-0.01255,0.46495
16,0.19521,-0.0091,0.46449
16.02,0.23514,-0.00481,0.28257
16.04,0.26137,0.00013,0.09366
16.06,0.20463,0.00477,0.07054
16.08,0.08634,0.00766,0.09922
16.1,-0.02766,0.00823,0.05722
16.12,-0.04579,0.00747,0.05128
16.14,-0.00785,0.00691,-0.10249
16.16,-0.02054,0.00661,-0.27237
16.18,0.01275,0.00651,-0.10042
16.2,0.06186,0.00726,0.08168
16.22,0.06089,0.00847,0.01072
16.24,0.02821,0.00934,-0.06565
16.26,-0.00777,0.00953,-0.14885
16.28,-0.02053,0.00923,-0.28195
16.3,-0.04558,0.00855,-0.2689
16.32,-0.03642,0.00771,-0.16811
16.34,0.04736,0.0078,-0.06997
16.36,0.00444,0.00831,0.00866
16.38,-0.10526,0.00728,0.12271
16.4,-0.02714,0.00596,0.13438
16.42,-0.03128,0.00536,0.09487
16.44,-0.14232,0.00361,0.10073
16.46,-0.12892,0.00089,0.05465
16.48,-0.08243,-0.00124,0.08592
16.5,-0.04592,-0.00253,0.24141
16.52,-0.0043,-0.00305,0.34218
16.54,-0.07505,-0.00385,0.29842
16.56,-0.11011,-0.00572,0.12735
16.58,0.0139,-0.00669,-0.04689
16.6,0.07747,-0.00578,0.04474
16.62,0.15588,-0.00345,0.19993
16.64,0.25646,0.00066,0.10993
16.66,0.15151,0.00474,-0.12868
16.68,-0.0362,0.00588,-0.24979
16.7,-0.06829,0.00483,-0.35131
16.72,-0.08227,0.00332,-0.44319
16.74,-0.07864,0.0017,-0.3259
16.76,-0.01327,0.00078,-0.22626
16.78,0.06219,0.00126,-0.24476
16.8,0.08127,0.00269,-0.20735
16.82,-0.00568,0.00345,-0.04778
16.84,0.04334,0.00382,0.15132
16.86,0.08689,0.00512,0.17582
16.88,0.04516,0.00644,0.0515
16.9,0.07797,0.00767,-0.03307
16.92,0.09695,0.00942,0.02154
16.94,0.00054,0.01039,0.07292
16.96,-0.13544,0.00904,-0.10489
16.98,-0.17514,0.00593,-0.20457
17,-0.21721,0.00201,-0.05589
17.02,-0.27836,-0.00294,0.09002
17.04,-0.2373,-0.0081,0.05904
17.06,-0.13749,-0.01184,0.02355
17.08,-0.09896,-0.0142,0.13774
17.1,-0.04651,-0.01566,0.22813
17.12,0.05515,-0.01556,0.32818
17.14,0.07663,-0.01424,0.35498
17.16,-0.00977,-0.01357,0.21453
17.18,-0.02255,-0.01389,0.09379
17.2,0.02362,-0.01388,0.00864
17.22,0.04931,-0.01314,-0.05547
17.24,0.07729,-0.01187,-0.03339
17.26,0.11926,-0.0099,-0.01027
17.28,0.07335,-0.00796,-0.00894
17.3,0.01491,-0.00707,0.01793
17.32,0.03869,-0.00653,0.00749
17.34,0.04224,-0.00571,0.00372
17.36,0.03684,-0.00491,-0.01611
17.38,0.04316,-0.00411,-0.06145
17.4,0.10691,-0.00261,-0.08215
17.42,0.14325,-9.00E-05,-0.04316
17.44,0.16608,0.00301,-0.0685
17.46,0.21819,0.00687,-0.1511
17.48,0.21396,0.0112,-0.09829
17.5,0.19632,0.01531,-0.03659
17.52,0.1986,0.01927,-0.16479
17.54,0.08414,0.02211,-0.30688
17.56,-0.10798,0.02189,-0.13004
17.58,-0.1451,0.01937,0.11016
17.6,-0.08842,0.01703,0.13131
17.62,-0.14783,0.01468,0.00947
17.64,-0.12082,0.01201,-0.10349
17.66,0.03173,0.01113,-0.1187
17.68,0.09164,0.01238,-0.1203
17.7,0.04044,0.01372,-0.05822
17.72,-0.00427,0.01409,0.08267
17.74,-0.03673,0.0137,0.14634
17.76,-0.03826,0.01296,0.16041
17.78,-0.05044,0.01209,0.09147
17.8,-0.07772,0.01081,-0.03285
17.82,-0.08202,0.00922,-0.10166
17.84,-0.09246,0.00749,-0.11818
17.86,-0.07639,0.00582,-0.09372
17.88,-0.02134,0.00486,-0.04949
17.9,0.02538,0.00492,-0.04328
17.92,-0.00608,0.00512,-0.01848
17.94,-0.00377,0.00504,0.14854
17.96,0.04142,0.00543,0.32036
17.98,0.01981,0.00606,0.41505
18,-0.01501,0.00611,0.43192
18.02,-0.05285,0.00545,0.3018
18.04,-0.11754,0.00376,0.14952
18.06,-0.17557,0.00084,0.12584
18.08,-0.22744,-0.00317,0.17271
18.1,-0.20496,-0.00748,0.04496
18.12,-0.1529,-0.01104,-0.1492
18.14,-0.12708,-0.01382,-0.14041
18.16,-0.08932,-0.01597,-0.12274
18.18,-0.03008,-0.01715,-0.21198
18.2,0.0047,-0.0174,-0.26682
18.22,0.0635,-0.01671,-0.21157
18.24,0.0905,-0.01515,-0.17371
18.26,0.02033,-0.01403,-0.21818
18.28,-0.00781,-0.01388,-0.29608
18.3,-0.05169,-0.01446,-0.29694
18.32,-0.11514,-0.01612,-0.08107
18.34,-0.09227,-0.01817,0.08386
18.36,-0.10167,-0.0201,0.00768
18.38,-0.17514,-0.02285,-0.08359
18.4,-0.18326,-0.02644,-0.17924
18.42,-0.13909,-0.02964,-0.15676
18.44,-0.06441,-0.03166,0.02158
18.46,-0.03507,-0.03264,0.10332
18.48,-0.06534,-0.03363,0.02676
18.5,-0.03817,-0.03465,-0.07621
18.52,-0.00973,-0.03512,-0.14464
18.54,-0.01096,-0.03531,-0.09059
18.56,-0.01137,-0.03552,0.02938
18.58,0.02465,-0.03537,0.10848
18.6,0.08957,-0.03423,0.16981
18.62,0.14036,-0.03192,0.21097
18.64,0.10926,-0.02941,0.1129
18.66,0.00395,-0.02826,0.00095
18.68,-0.02783,-0.02849,0.04401
18.7,0.03286,-0.02842,0.10898
18.72,0.06673,-0.02742,0.04953
18.74,0.05741,-0.02616,0.0023
18.76,0.11064,-0.02447,0.03736
18.78,0.18626,-0.02149,0.00684
18.8,0.17751,-0.01785,-0.03421
18.82,0.11979,-0.01487,0.0019
18.84,0.15559,-0.0121,0.13428
18.86,0.25573,-0.00798,0.17862
18.88,0.22108,-0.0032,0.10477
18.9,0.12925,0.00032,0.0659
18.92,0.13441,0.00297,-0.03828
18.94,0.11979,0.00552,-0.17161
18.96,0.03751,0.00711,-0.1185
18.98,0.01102,0.0076,-0.08011
19,0.02621,0.00797,-0.22127
19.02,0.05541,0.0088,-0.25009
19.04,0.09656,0.01033,-0.14445
19.06,0.09535,0.01226,-0.11954
19.08,0.06973,0.01392,-0.06138
19.1,0.06378,0.01526,0.00486
19.12,-0.00777,0.01584,0.01501
19.14,-0.07436,0.01502,-0.02313
19.16,-0.00517,0.01424,-0.06398
19.18,0.02469,0.01444,-0.07597
19.2,-0.03939,0.0143,-0.06149
19.22,-0.06555,0.01326,-0.07565
19.24,-0.04756,0.01213,-0.12942
19.26,-0.00463,0.01162,-0.13757
19.28,0.04349,0.01202,-0.11541
19.3,0.08675,0.01333,0.01273
19.32,0.13824,0.01559,0.16918
19.34,0.20369,0.01902,0.16878
19.36,0.19244,0.02299,0.12703
19.38,0.09796,0.0259,0.12615
19.4,0.03914,0.02727,0.08007
19.42,0.04543,0.02813,0.01412
19.44,0.0678,0.02927,0.01735
19.46,0.05,0.03045,0.06316
19.48,0.03809,0.03134,0.12606
19.5,0.02092,0.03194,0.1359
19.52,-0.02803,0.03188,0.11362
19.54,-0.04149,0.03119,0.15224
19.56,-0.03567,0.03043,0.12136
19.58,-0.06481,0.02943,0.02473
19.6,-0.09253,0.02786,0.02556
19.62,-0.10163,0.02592,0.02026
19.64,-0.09677,0.02395,-0.12085
19.66,-0.07359,0.02225,-0.16756
19.68,-0.04194,0.0211,-0.04365
19.7,-0.04966,0.0202,0.07014
19.72,-0.02627,0.01944,0.04986
19.74,0.04715,0.01966,0.0502
19.76,0.07209,0.02086,0.10222
19.78,0.00033,0.02159,0.10686
19.8,-0.1178,0.02042,0.16746
19.82,-0.14653,0.01778,0.24078
19.84,-0.14605,0.01487,0.18092
19.86,-0.14577,0.01196,0.11441
19.88,-0.14803,0.00903,0.08835
19.9,-0.12783,0.00628,0.04849
19.92,-0.09076,0.0041,0.01125
19.94,-0.10722,0.00213,-0.00519
19.96,-0.13217,-0.00026,0.01455
19.98,-0.1488,-0.00306,-0.011
20,-0.10615,-0.00561,-0.01708
20.02,0.01014,-0.00656,-0.04345
20.04,0.0516,-0.00593,-0.08453
20.06,-0.03348,-0.00574,-0.09713
20.08,-0.07076,-0.00678,-0.10177
20.1,-0.06262,-0.0081,-0.0419
20.12,-0.0977,-0.00969,0.01819
20.14,-0.10633,-0.01172,0.05174
20.16,-0.03544,-0.01313,0.0426
20.18,0.06771,-0.0128,-0.0158
20.2,0.12356,-0.01089,-0.08428
20.22,0.09849,-0.00866,-0.10736
20.24,0.06772,-0.00699,-0.15595
20.26,0.07266,-0.00557,-0.23107
20.28,0.05167,-0.00432,-0.27041
20.3,0.02242,-0.00357,-0.25436
20.32,0.03172,-0.00302,-0.19519
20.34,0.05287,-0.00216,-0.08586
20.36,0.01468,-0.00148,0.06548
20.38,-0.00989,-0.00142,0.15033
20.4,-0.00174,-0.00154,0.19521
20.42,0.01104,-0.00143,0.23514
20.44,-0.00026,-0.00132,0.26137
20.46,-0.04205,-0.00173,0.20463
20.48,-0.03721,-0.00251,0.08634
20.5,-0.01477,-0.00302,-0.02766
20.52,-0.02907,-0.00345,-0.04579
20.54,-0.04855,-0.00421,-0.00785
20.56,-0.06643,-0.00536,-0.02054
20.58,-0.08377,-0.00685,0.01275
20.6,-0.06912,-0.00838,0.06186
20.62,-0.04007,-0.00946,0.06089
20.64,-0.0012,-0.00986,0.02821
20.66,0.06227,-0.00924,-0.00777
20.68,0.12736,-0.00734,-0.02053
20.7,0.13817,-0.00467,-0.04558
20.72,0.10769,-0.00221,-0.03642
20.74,0.11002,-2.00E-05,0.04736
20.76,0.10883,0.00218,0.00444
20.78,0.08004,0.00407,-0.10526
20.8,0.06599,0.00553,-0.02714
20.82,0.06165,0.00682,-0.03128
20.84,0.0525,0.00797,-0.14232
20.86,0.05624,0.00906,-0.12892
20.88,0.05501,0.01018,-0.08243
20.9,0.03943,0.01113,-0.04592
20.92,0.02376,0.01177,-0.0043
20.94,0.00225,0.01204,-0.07505
20.96,-0.01083,0.01196,-0.11011
20.98,-0.02036,0.01166,0.0139
21,-0.09451,0.01051,0.07747
21.02,-0.18252,0.00774,0.15588
21.04,-0.15724,0.00435,0.25646
21.06,-0.07304,0.00206,0.15151
21.08,-0.00745,0.00126,-0.0362
21.1,0.02897,0.00148,-0.06829
21.12,0.04223,0.00219,-0.08227
21.14,0.05887,0.00321,-0.07864
21.16,0.01488,0.00396,-0.01327
21.18,-0.06613,0.00345,0.06219
21.2,-0.07344,0.00205,0.08127
21.22,-0.09126,0.00041,-0.00568
21.24,-0.14248,-0.00193,0.04334
21.26,-0.14483,-0.0048,0.08689
21.28,-0.09458,-0.00719,0.04516
21.3,-0.09275,-0.00906,0.07797
21.32,-0.09897,-0.01097,0.09695
21.34,-0.07601,-0.01272,0.00054
21.36,-0.06527,-0.01413,-0.13544
21.38,-0.09474,-0.01572,-0.17514
21.4,-0.1092,-0.01776,-0.21721
21.42,-0.08814,-0.01974,-0.27836
21.44,-0.09844,-0.0216,-0.2373
21.46,-0.07821,-0.02337,-0.13749
21.48,0.0043,-0.02411,-0.09896
21.5,0.07804,-0.02328,-0.04651
21.52,0.07876,-0.02171,0.05515
21.54,0.07702,-0.02016,0.07663
21.56,0.04304,-0.01895,-0.00977
21.58,-0.01359,-0.01866,-0.02255
21.6,-0.00744,-0.01887,0.02362
21.62,0.04525,-0.0185,0.04931
21.64,0.11391,-0.01691,0.07729
21.66,0.16187,-0.01415,0.11926
21.68,0.13906,-0.01115,0.07335
21.7,0.14398,-0.00832,0.01491
21.72,0.13601,-0.00552,0.03869
21.74,0.02295,-0.00393,0.04224
21.76,-0.01925,-0.0039,0.03684
21.78,0.0689,-0.0034,0.04316
21.8,0.11747,-0.00154,0.10691
21.82,0.05235,0.00015,0.14325
21.84,-0.02113,0.00046,0.16608
21.86,0.01705,0.00041,0.21819
21.88,0.00516,0.00063,0.21396
21.9,-0.06916,-2.00E-05,0.19632
21.92,-0.11369,-0.00185,0.1986
21.94,-0.11723,-0.00417,0.08414
21.96,-0.04805,-0.00582,-0.10798
21.98,-0.02347,-0.00654,-0.1451
22,-0.01059,-0.00688,-0.08842
22.02,0.04037,-0.0066,-0.14783
22.04,0.09477,-0.00525,-0.12082
22.06,0.17021,-0.00261,0.03173
22.08,0.16657,0.00075,0.09164
22.1,0.09821,0.00339,0.04044
22.12,0.07814,0.00515,-0.00427
22.14,0.01328,0.00605,-0.03673
22.16,-0.02238,0.00595,-0.03826
22.18,0.05065,0.00623,-0.05044
22.2,0.08865,0.00762,-0.07772
22.22,0.01284,0.00863,-0.08202
22.24,-0.03052,0.00844,-0.09246
22.26,0.02085,0.00833,-0.07639
22.28,0.05135,0.00904,-0.02134
22.3,-0.03786,0.00917,0.02538
22.32,-0.05903,0.00819,-0.00608
22.34,-0.01412,0.00745,-0.00377
22.36,-0.03412,0.00695,0.04142
22.38,-0.037,0.00623,0.01981
22.4,-0.05508,0.00531,-0.01501
22.42,-0.0959,0.00379,-0.05285
22.44,-0.10168,0.0018,-0.11754
22.46,-0.01368,0.00064,-0.17557
22.48,0.04435,0.00093,-0.22744
22.5,0.04806,0.00184,-0.20496
22.52,0.0829,0.00314,-0.1529
22.54,0.01129,0.00407,-0.12708
22.56,-0.04107,0.00376,-0.08932
22.58,0.00967,0.00344,-0.03008
22.6,-0.02298,0.0033,0.0047
22.62,-0.04531,0.00261,0.0635
22.64,-0.03775,0.00176,0.0905
22.66,-0.00164,0.00136,0.02033
22.68,0.0616,0.00194,-0.00781
22.7,-0.00608,0.00249,-0.05169
22.72,-0.06136,0.0018,-0.11514
22.74,0.01886,0.00136,-0.09227
22.76,0.01073,0.00164,-0.10167
22.78,-0.05909,0.00115,-0.17514
22.8,-0.01012,0.00045,-0.18326
22.82,0.01132,0.00045,-0.13909
22.84,-0.04868,6.00E-05,-0.06441
22.86,-0.02708,-0.00071,-0.03507
22.88,0.03933,-0.0006,-0.06534
22.9,0.02763,6.00E-05,-0.03817
22.92,0.0452,0.00077,-0.00973
22.94,0.08833,0.00209,-0.01096
22.96,0.04258,0.00339,-0.01137
22.98,-0.00752,0.00372,0.02465
23,0.03739,0.00402,0.08957
23.02,0.05405,0.00492,0.14036
23.04,0.00652,0.00551,0.10926
23.06,-0.00508,0.00551,0.00395
23.08,-0.0377,0.00507,-0.02783
23.1,-0.06894,0.00399,0.03286
23.12,-0.06852,0.0026,0.06673
23.14,-0.03689,0.00153,0.05741
23.16,-0.01143,0.00104,0.11064
23.18,0.01082,0.00102,0.18626
23.2,-0.02907,0.00083,0.17751
23.22,-0.07254,-0.0002,0.11979
23.24,-0.0538,-0.00147,0.15559
23.26,-0.06278,-0.00266,0.25573
23.28,-0.06715,-0.00397,0.22108
23.3,-0.0448,-0.0051,0.12925
23.32,0.00983,-0.00547,0.13441
23.34,0.01885,-0.00519,0.11979
23.36,0.00261,-0.00499,0.03751
23.38,-0.0334,-0.00531,0.01102
23.4,-0.0679,-0.00633,0.02621
23.42,-0.01699,-0.00719,0.05541
23.44,0.04847,-0.00689,0.09656
23.46,0.03509,-0.00606,0.09535
23.48,0.01312,-0.00559,0.06973
23.5,0.01455,-0.00533,0.06378
23.52,0.01411,-0.00506,-0.00777
23.54,0.00596,-0.00487,-0.07436
23.56,0.04128,-0.00441,-0.00517
23.58,0.09936,-0.00302,0.02469
23.6,0.07274,-0.0013,-0.03939
23.62,0.0085,-0.0005,-0.06555
23.64,-0.03107,-0.00073,-0.04756
23.66,-0.04394,-0.0015,-0.00463
23.68,-0.08157,-0.00276,0.04349
23.7,-0.10616,-0.00465,0.08675
23.72,-0.08477,-0.00657,0.13824
23.74,-0.06448,-0.00808,0.20369
23.76,-0.09028,-0.00964,0.19244
23.78,-0.12087,-0.01176,0.09796
23.8,-0.09462,-0.01391,0.03914
23.82,-0.02231,-0.01509,0.04543
23.84,0.05354,-0.01479,0.0678
23.86,0.07678,-0.0135,0.05
23.88,0.05939,-0.01215,0.03809
23.9,-0.00767,-0.01164,0.02092
23.92,-0.01769,-0.0119,-0.02803
23.94,0.03171,-0.01177,-0.04149
23.96,0.06066,-0.01086,-0.03567
23.98,0.08975,-0.00937,-0.06481
24,0.10533,-0.00742,-0.09253
24.02,0.06177,-0.00575,-0.10163
24.04,0.01599,-0.00498,-0.09677
24.06,0.03282,-0.0045,-0.07359
24.08,0.05928,-0.00359,-0.04194
24.1,0.08307,-0.00217,-0.04966
24.12,0.12982,-5.00E-05,-0.02627
24.14,0.12671,0.00251,0.04715
24.16,0.09078,0.00467,0.07209
24.18,0.08907,0.00646,0.00033
24.2,0.05305,0.00789,-0.1178
24.22,-0.02049,0.00821,-0.14653
24.24,-0.07818,0.00721,-0.14605
24.26,-0.05781,0.00585,-0.14577
24.28,-0.02073,0.00506,-0.14803
24.3,-0.01805,0.00467,-0.12783
24.32,-0.00559,0.00442,-0.09076
24.34,0.02272,0.00459,-0.10722
24.36,0.02669,0.00508,-0.13217
24.38,-0.03517,0.00499,-0.1488
24.4,-0.1142,0.00349,-0.10615
24.42,-0.12259,0.00112,0.01014
24.44,-0.07473,-0.00085,0.0516
24.46,-0.01117,-0.00171,-0.03348
24.48,0.0496,-0.00133,-0.07076
24.5,0.04859,-0.00036,-0.06262
24.52,0.01151,0.00024,-0.0977
24.54,0.012,0.00048,-0.10633
24.56,0.01007,0.00069,-0.03544
24.58,0.01259,0.00092,0.06771
24.6,0.00262,0.00107,0.12356
24.62,-0.02449,0.00085,0.09849
24.64,0.04622,0.00107,0.06772
24.66,0.09406,0.00247,0.07266
24.68,0.08464,0.00426,0.05167
24.7,0.14058,0.00651,0.02242
24.72,0.1552,0.00947,0.03172
24.74,0.0772,0.01179,0.05287
24.76,0.03409,0.0129,0.01468
24.78,-0.03896,0.01286,-0.00989
24.8,-0.09834,0.01148,-0.00174
24.82,-0.05427,0.00996,0.01104
24.84,-0.03115,0.0091,-0.00026
24.86,-0.01704,0.00863,-0.04205
24.88,-0.0232,0.00823,-0.03721
24.9,-0.02131,0.00778,-0.01477
24.92,0.00982,0.00767,-0.02907
24.94,0.00649,0.00784,-0.04855
24.96,0.01567,0.00806,-0.06643
24.98,0.0182,0.0084,-0.08377
25,-0.02557,0.00833,-0.06912
25.02,-0.03969,0.00768,-0.04007
25.04,-0.03735,0.00691,-0.0012
25.06,-0.0269,0.00627,0.06227
25.08,0.05289,0.00654,0.12736
25.1,0.09202,0.00799,0.13817
25.12,0.07826,0.0097,0.10769
25.14,0.08272,0.01132,0.11002
25.16,0.09229,0.01307,0.10883
25.18,0.10134,0.01501,0.08004
25.2,0.09513,0.01697,0.06599
25.22,0.10713,0.019,0.06165
25.24,0.09729,0.02105,0.0525
25.26,0.06392,0.02267,0.05624
25.28,0.0444,0.02376,0.05501
25.3,0.03042,0.02452,0.03943
25.32,-0.00473,0.02478,0.02376
25.34,-0.03585,0.02438,0.00225
25.36,-0.05076,0.02352,-0.01083
25.38,-0.07221,0.0223,-0.02036
25.4,-0.07261,0.02085,-0.09451
25.42,-0.06173,0.01951,-0.18252
25.44,-0.06077,0.0183,-0.15724
25.46,-0.03768,0.01732,-0.07304
25.48,-0.02122,0.01674,-0.00745
25.5,-0.02842,0.01625,0.02897
25.52,-0.02635,0.01571,0.04223
25.54,-0.02629,0.01519,0.05887
25.56,-0.02844,0.01465,0.01488
25.58,-0.0287,0.01409,-0.06613
25.6,-0.02314,0.01357,-0.07344
25.62,-0.05169,0.01283,-0.09126
25.64,-0.06623,0.01166,-0.14248
25.66,-0.07161,0.01029,-0.14483
25.68,-0.09117,0.00868,-0.09458
25.7,-0.08257,0.00695,-0.09275
25.72,-0.05077,0.00562,-0.09897
25.74,-0.0208,0.00492,-0.07601
25.76,-0.03761,0.00434,-0.06527
25.78,-0.06918,0.00328,-0.09474
25.8,-0.07197,0.00187,-0.1092
25.82,-0.0704,0.00046,-0.08814
25.84,-0.06698,-0.0009,-0.09844
25.86,-0.04585,-0.00202,-0.07821
25.88,-0.05392,-0.00301,0.0043
25.9,-0.07411,-0.00428,0.07804
25.92,-0.08063,-0.00582,0.07876
25.94,-0.06423,-0.00725,0.07702
25.96,-0.05247,-0.00841,0.04304
25.98,-0.05787,-0.0095,-0.01359
26,-0.06102,-0.01069,-0.00744
26.02,-0.05964,-0.01189,0.04525
26.04,-0.06187,-0.01309,0.11391
26.06,-0.07241,-0.01442,0.16187
26.08,-0.09172,-0.01605,0.13906
26.1,-0.11405,-0.0181,0.14398
26.12,-0.09288,-0.02016,0.13601
26.14,-0.05917,-0.02167,0.02295
26.16,-0.0342,-0.02259,-0.01925
26.18,-0.01393,-0.02306,0.0689
26.2,0.0097,-0.0231,0.11747
26.22,0.03391,-0.02266,0.05235
26.24,0.02711,-0.02203,-0.02113
26.26,-0.01573,-0.02191,0.01705
26.28,-0.00186,-0.02207,0.00516
26.3,0.06061,-0.02147,-0.06916
26.32,0.10095,-0.01985,-0.11369
26.34,0.10715,-0.01775,-0.11723
26.36,0.10108,-0.01566,-0.04805
26.38,0.10713,-0.01357,-0.02347
26.4,0.09069,-0.01159,-0.01059
26.42,0.06401,-0.01003,0.04037
26.44,0.05649,-0.00882,0.09477
26.46,0.04674,-0.00777,0.17021
26.48,0.0453,-0.00684,0.16657
26.5,0.05786,-0.0058,0.09821
26.52,0.05635,-0.00464,0.07814
26.54,0.03274,-0.00374,0.01328
26.56,-0.0073,-0.00347,-0.02238
26.58,-0.01908,-0.00373,0.05065
26.6,-0.00534,-0.00397,0.08865
26.62,-0.0541,-0.00456,0.01284
26.64,-0.1142,-0.00623,-0.03052
26.66,-0.07175,-0.00808,0.02085
26.68,-0.03366,-0.00912,0.05135
26.7,-0.07364,-0.01018,-0.03786
26.72,-0.0692,-0.0116,-0.05903
26.74,-0.02095,-0.01249,-0.01412
26.76,-0.01251,-0.01281,-0.03412
26.78,-0.01372,-0.01307,-0.037
26.8,-0.00065,-0.01321,-0.05508
26.82,0.01065,-0.0131,-0.0959
26.84,0.00822,-0.0129,-0.10168
26.86,0.0085,-0.01273,-0.01368
26.88,0.00626,-0.01257,0.04435
26.9,-0.00451,-0.01254,0.04806
26.92,-0.00192,-0.0126,0.0829
26.94,0.0326,-0.01228,0.01129
26.96,0.06483,-0.0113,-0.04107
26.98,0.05257,-0.01011,0.00967
27,0.03451,-0.00924,-0.02298
27.02,0.03788,-0.00851,-0.04531
27.04,0.03425,-0.00778,-0.03775
27.06,0.01448,-0.00728,-0.00164
27.08,0.01056,-0.00702,0.0616
27.1,0.03903,-0.00652,-0.00608
27.12,0.03527,-0.00577,-0.06136
27.14,-0.00921,-0.0055,0.01886
27.16,-0.03694,-0.00595,0.01073
27.18,-0.0514,-0.00683,-0.05909
27.2,-0.06417,-0.00798,-0.01012
27.22,-0.07595,-0.00938,0.01132
27.24,-0.06628,-0.01079,-0.04868
27.26,-0.07462,-0.01219,-0.02708
27.28,-0.07798,-0.01371,0.03933
27.3,-0.05503,-0.01503,0.02763
27.32,-0.03215,-0.0159,0.0452
27.34,-0.02472,-0.01646,0.08833
27.36,-0.00464,-0.01675,0.04258
27.38,0.02708,-0.01652,-0.00752
27.4,0.02753,-0.01597,0.03739
27.42,0.0304,-0.01539,0.05405
27.44,0.05855,-0.01449,0.00652
27.46,0.09652,-0.01294,-0.00508
